"1" "2" "3" "4" "5" "6"
"CHK_6467_E3B11_BRONCH2_PREWASH_V1V2" 0.000852181213690909 0.996084578173653 0.00074075594448795 0.000752950382186601 0.00072333339886147 0.000846200887119999
"CHK_6467_E3B11_OW_V1V2" 4.58749751285818e-05 2.33500435302422e-05 3.93379426720493e-05 0.99983149973101 3.51790720821613e-05 2.47582355765276e-05
"CHK_6467_E3B08_OW_V1V2" 5.88152211889147e-05 2.44847984997252e-05 5.25114330137546e-05 6.08170266207778e-05 0.999778203152049 2.5168368627853e-05
"CHK_6467_E3B07_BAL_A_V1V2" 8.81432211411956e-05 3.49029656703373e-05 0.999593676325929 7.19327923257554e-05 0.000176859093379284 3.44856015542669e-05
"CHK_6467_E3B11_BAL_A_V1V2" 9.87889627160871e-05 0.000156664809523733 0.00117546860983141 0.99833073752827 8.11922481212152e-05 0.000157147841538226
"CHK_6467_E3B09_OP_V1V2" 0.999698697146239 3.10649304878537e-05 5.62230124327702e-05 0.000102743982604799 7.85284190715576e-05 3.27425091638157e-05
"CHK_6467_E3B08_BRONCH1_PREWASH_V1V2" 0.000382650186355851 0.998316053793974 0.000303120246392616 0.000362908492041807 0.000325060830498248 0.00031020645073775
"CHK_6467_E3B11_BRONCH1_POSTWASH_V1V2" 7.46737607308291e-05 3.54480465697612e-05 4.91015407763991e-05 0.999746489193724 5.94231616176174e-05 3.48642965813431e-05
"CHK_6467_E3B11_OP_V1V2" 0.000191470892240387 2.83310255079351e-05 5.905096520346e-05 0.99960543181887 8.47807244119248e-05 3.09345737665333e-05
"CHK_6467_E3B10_BRONCH1_TIPSWAB_V1V2" 0.992639012080078 0.00668142130783507 0.000212875394640625 0.000164723468389953 0.000216264359081424 8.57033899748555e-05
"CHK_6467_E3B07_BAL_B_V1V2" 0.000297594127166791 0.352568707772462 0.646224720853863 0.000274289638294549 0.000380392264800899 0.000254295343413011
"CHK_6467_E3B08_BAL_A_V1V2" 9.16192586351084e-05 0.00010740488543695 0.000207976277060585 7.41921797674381e-05 0.999426441448332 9.23659507681467e-05
"CHK_6467_E3B11_PSB_V1V2" 0.000125371318303473 5.90796605868237e-05 0.000110014165507299 0.999556170519746 9.62812639321587e-05 5.30830719240217e-05
"CHK_6467_E3B10_OW_V1V2" 0.999731442256502 2.56801316524097e-05 6.38384636930061e-05 6.42655972101596e-05 8.89110550723994e-05 2.58624958701441e-05
"CHK_6467_E3B09_BRONCH1_POSTWASH_V1V2" 0.999571456359314 4.19995429456846e-05 8.32212746468736e-05 0.000148612350953639 0.000107580969751829 4.71295023876986e-05
"CHK_6467_E3B10_PSB_V1V2" 0.999416370076474 4.59648503399649e-05 0.000227432037229961 0.000116567750420606 0.000150621430613043 4.30438549225345e-05
"CHK_6467_E3B08_BRONCH1_TIPSWAB_V1V2" 9.01881346012503e-05 5.49667746087396e-05 0.000374049276203461 8.92257227542317e-05 0.999339457792962 5.21122988705947e-05
"CHK_6467_E3B06_BRONCH1_PREWASH_V1V2" 0.94094356494473 0.0355372712209984 0.00194742011465493 0.0102089875709676 0.000689685305686577 0.0106730708429627
"CHK_6467_E3B10_BAL_1STRETURN_V1V2" 0.99959235887111 4.16786178188219e-05 0.00010442597979277 0.00013505063605608 8.3924944180478e-05 4.25609510419084e-05
"CHK_6467_E3B08_BRONCH2_PREWASH_V1V2" 0.00035013782100477 0.998160170731204 0.000365457464099546 0.000348802146396158 0.000347984642402504 0.000427447194893089
"CHK_6467_E3B10_NP_V1V2" 5.15568394133749e-05 0.0772219975214002 0.121428010112464 5.56836612853476e-05 4.93710109514469e-05 0.801193380854486
"CHK_6467_E3B11_BAL_B_V1V2" 0.000801621979716993 0.000964731736695838 0.2324906800371 0.759788691393816 0.000750087089521364 0.00520418776314934
"CHK_6467_E3B11_BRONCH1_TIPSWAB_V1V2" 0.000135251381727882 4.65811017287831e-05 7.99897983888875e-05 0.999592910307092 9.74015353257404e-05 4.78658757363151e-05
"CHK_6467_E3B08_BAL_1STRETURN_V1V2" 0.000132143728456792 7.43065714090676e-05 0.000116609709156753 7.65268785064634e-05 0.999073435807697 0.00052697730477422
"CHK_6467_E3B08_NP_V1V2" 2.88504339361749e-05 0.999801756151645 3.03187730552473e-05 2.93813872606622e-05 3.16774778058985e-05 7.80157762967739e-05
"CHK_6467_E3B10_BRONCH2_PREWASH_V1V2" 0.000766512733353761 0.995864463900497 0.000768731453890197 0.000762380832719972 0.00076231450391601 0.00107559657562271
"CHK_6467_E3B09_NP_V1V2" 0.0273398359724234 0.0487185232551652 0.000129729284992831 8.07316526171292e-05 0.000108542769795972 0.923622637065005
"CHK_6467_E3B07_PSB_V1V2" 7.74992733693103e-05 0.000144990822860829 0.999446926099601 8.70452014130601e-05 0.000195027709083616 4.85108936723269e-05
"CHK_6467_E3B07_NP_V1V2" 0.000363633144568136 0.988483635095053 0.00738006779688851 0.00250986277560467 0.000225400830661727 0.00103740035722392
"CHK_6467_E3B09_BRONCH1_TIPSWAB_V1V2" 0.999495782026785 4.29318798681501e-05 0.000109292670445744 0.000117412751769492 0.000184036147039424 5.0544524091971e-05
"CHK_6467_E3B06_BRONCH1_POSTWASH_V1V2" 0.196246751080124 0.000195681055355525 8.39936854092405e-05 0.216777566736958 8.95320517986381e-05 0.586606475390354
"CHK_6467_E3B07_BAL_1STRETURN_V1V2" 5.95961335757813e-05 4.15999734579577e-05 0.999721989682446 5.65801518775861e-05 8.09147071545963e-05 3.93193514884889e-05
"CHK_6467_E3B10_BRONCH1_PREWASH_V1V2" 0.000236856497907392 0.998775466508665 0.000224677651779218 0.000229815196044367 0.000222177324520535 0.000311006821083702
"CHK_6467_E3B10_BRONCH1_POSTWASH_V1V2" 0.999696051210139 4.10978695271856e-05 5.50624972304453e-05 0.000105746509078318 6.78079826620301e-05 3.42339313624108e-05
"CHK_6467_E3B11_BRONCH1_PREWASH_V1V2" 0.000160233925407871 0.999190958538632 0.000161245811213981 0.000160313349210108 0.000159923324426939 0.00016732505110896
"CHK_6467_E3B09_PSB_V1V2" 0.999617454055544 3.13821578091213e-05 0.000112408375775971 8.78314969884595e-05 0.000118223724989236 3.27001888925901e-05
"CHK_6467_E3B09_BRONCH1_PREWASH_V1V2" 0.000555218372657819 0.997031155729318 0.000622066090385293 0.000553150205827349 0.000558180316910188 0.000680229284901199
"CHK_6467_E3B07_BRONCH2_PREWASH_V1V2" 7.53691975324152e-05 0.999620253948976 7.65016567273661e-05 7.42204243757844e-05 7.42059689555171e-05 7.94488034332914e-05
"CHK_6467_E3B08_BRONCH1_POSTWASH_V1V2" 6.55697302885457e-05 3.67759671569856e-05 7.27793067075085e-05 5.68261876777383e-05 0.999731047754035 3.7001054134109e-05
"CHK_6467_E3B06_BRONCH1_TIPSWAB_V1V2" 0.23502774577668 3.9076296340295e-05 5.98473387870886e-05 0.0721653456410251 6.72067819131973e-05 0.692640778165254
"CHK_6467_E3B11_NP_V1V2" 4.73971824436801e-06 7.39638241455229e-06 5.06745019036052e-06 5.6913639577316e-06 4.46562285536529e-06 0.999972639462337
"CHK_6467_E3B10_OP_V1V2" 0.999830484967833 2.10387597295985e-05 3.29495134937389e-05 3.83254429109261e-05 5.60056749178369e-05 2.11956411142413e-05
"CHK_6467_E3B09_BAL_1STRETURN_V1V2" 0.925928202756251 9.21146071938963e-05 0.0735026654471661 0.00029975555451017 9.97076642085299e-05 7.75539706701529e-05
"CHK_6467_E3B06_NP_V1V2" 0.0127548440308448 0.978348850083561 0.00199082748521258 0.00178082586728276 0.00143846256052104 0.0036861899725782
"CHK_6467_E3B09_BRONCH2_PREWASH_V1V2" 0.000298350747365236 0.998478635407344 0.000301356830863855 0.00029894556847219 0.000297678616965473 0.000325032828989544
"CHK_6467_E3B06_BAL_A_V1V2" 0.00018972670859831 0.0229707185560828 0.975667034465231 0.000177992506684792 0.000185977826579572 0.00080854993682403
"CHK_6467_E3B06_BAL_1STRETURN_V1V2" 9.39846836369178e-05 0.000789985468410867 0.997063485398292 9.71807988574616e-05 8.48499990806168e-05 0.00187051365172251
"CHK_6467_E3B07_OP_V1V2" 0.00011793897913547 3.08726541411784e-05 0.999399030299985 7.48899187622053e-05 0.000345776297579071 3.14918503974737e-05
"CHK_6467_E3B06_BAL_B_V1V2" 0.000179611079752071 0.00600518325019495 0.953997321204539 0.000315658776671362 0.000110241797172002 0.0393919838916707
"CHK_6467_E3B11_BAL_1STRETURN_V1V2" 7.68416756469567e-05 5.18384652905747e-05 7.64831232190601e-05 0.999672517492229 6.56014402676751e-05 5.67178033463614e-05
"CHK_6467_E3B07_BRONCH1_TIPSWAB_V1V2" 0.000153225030301616 4.71843705785206e-05 0.999382425511719 0.000126312907455223 0.000246097258693135 4.47549212529385e-05
"CHK_6467_E3B10_BAL_A_V1V2" 0.97579309620674 0.000182152406077042 0.0237190339969112 0.000130765948545487 0.000112025256949037 6.29261847772638e-05
"CHK_6467_E3B06_BRONCH2_PREWASH_V1V2" 0.079477493194741 0.908258610446884 0.00010865887839799 0.0119140318028666 0.000117136072670592 0.000124069604440163
"CHK_6467_E3B06_OW_V1V2" 0.480833870958531 3.75134928449969e-05 7.71707930542491e-05 0.00104598089353516 0.000113147747974835 0.51789231611406
"CHK_6467_E3B07_BRONCH1_POSTWASH_V1V2" 0.000217574685891667 0.000141526929930108 0.997527343968571 0.000132885973430883 0.000169780789732835 0.00181088765244362
"CHK_6467_E3B07_BRONCH1_PREWASH_V1V2" 0.000958963312818813 0.995159394815577 0.000980483515515235 0.000957167517178679 0.000954092435085885 0.000989898403823854
"CHK_6467_E3B08_OP_V1V2" 3.68526190132905e-05 2.16014665907359e-05 3.45295129920408e-05 2.87130513179746e-05 0.999856795784805 2.15075652814374e-05
"CHK_6467_E3B10_BAL_B_V1V2" 0.794461061861669 0.0494930260713958 0.15112816736283 0.00144624738732351 0.0010343246432327 0.00243717267354897
"CHK_6467_E3B06_OP_V1V2" 0.307859426100497 3.59185258273039e-05 5.37035491021951e-05 0.000819756374649116 6.05332009560607e-05 0.691170662248968
"CHK_6467_E3B07_OW_V1V2" 6.02459379233764e-05 2.72193779756472e-05 0.999782899890527 3.99814445947821e-05 6.21692881377675e-05 2.74840608418061e-05
"CHK_6467_E3B09_BAL_B_V1V2" 0.981154060727333 4.5325315275235e-05 0.0182648755947487 0.000381944514793343 0.00011165616481375 4.21376830365629e-05
"CHK_6467_E3B08_PSB_V1V2" 9.73317880137878e-05 5.69022721344129e-05 0.000412489635848618 8.42885538758295e-05 0.999295935786662 5.30519634658184e-05
"CHK_6467_E3B08_BAL_B_V1V2" 0.00019538562733413 0.0130571113740122 0.0716270105664029 0.000169151252461882 0.914812334396491 0.000139006783297687
"CHK_6467_E3B06_PSB_V1V2" 0.108125901321135 0.000322883913312105 0.162431459502516 0.0563062319339891 0.000511310179929229 0.672302213149119
"CHK_6467_E3B09_OW_V1V2" 0.99981699125854 2.47646850760535e-05 4.62240290555331e-05 4.4749606581353e-05 4.31382737786902e-05 2.41321469689253e-05
"CHK_6467_E3B09_BAL_A_V1V2" 0.0934655208657534 0.00038541329134321 0.903729011438946 0.0021235176781757 0.000183703596313752 0.000112833129467804
