sample_name,mgrast_id,age,air_temp_regm,antibiotic_regm,body_product,chem_administration,chem_mutagen,climate_environment,disease_stat,dry_mass,fertilizer_regm,fungicide_regm,gaseous_environment,genotype,gravity,growth_hormone_regm,growth_med,height_or_length,herbicide_regm,host_common_name,host_taxid,humidity_regm,infra_specific_name,infra_specific_rank,life_stage,mechanical_damage,mineral_nutr_regm,misc_param,misc_param_1,non_mineral_nutr_regm,organism_count,oxy_stat_samp,perturbation,pesticide_regm,ph_regm,phenotype,plant_body_site,plant_product,radiation_regm,rainfall_regm,salt_regm,samp_salinity,samp_store_dur,samp_store_loc,samp_store_temp,season_environment,standing_water_regm,tiss_cult_growth_med,tot_mass,water_temp_regm,watering_regm,wet_mass
Unique name or id of the sample the library is derived from,MG-RAST Enviromental Package ID,"age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees","information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens","information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment duration, interval and total experimental duration; can include multiple antibiotic regimens",substance produced by the plant where the sample was obtained from,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v1.72), please see http://bioportal.bioontology.org/visualize/44603","treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens",treatment involving an exposure to a particular climate; can include multiple climates,"list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text. For DO terms, please see http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log",measurement of dry mass,"information about treatment involving the use of fertilizers; should include the name fertilizer, amount administered, treatment duration, interval and total experimental duration; can include multiple fertilizer regimens","information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment duration, interval and total experimental duration; can include multiple fungicide regimens","use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens",observed genotype,"information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; can include multiple treatments","information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment duration, interval and total experimental duration; can include multiple growth hormone regimens",information about growth media for growing the plants or tissue cultured samples,measurement of height or length,"information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment duration, interval and total experimental duration; can include multiple regimens","common name of the host, e.g. human","NCBI taxon id of the host, e.g. 9606","information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment duration, interval and total experimental duration; can include multiple regimens",taxonomic information about the host below subspecies level,"taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.",description of life stage of host,information about any mechanical damage exerted on the plant; can include multiple damages and sites,"information about treatment involving the use of mineral supplements; should include the name of mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple mineral nutrient regimens","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple non-mineral nutrient regimens","total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts",oxygenation status of sample,"type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types","information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment duration, interval and total experimental duration; can include multiple pesticide regimens",information about treatment involving exposure of plants to varying levels of pH of the growth media; can include multiple regimen,"phenotype of host. For Phenotypic quality Ontology (PATO) (v1.269) terms, please see http://bioportal.bioontology.org/visualize/44601","name of body site that the sample was obtained from. For PO (v819) terms please see, http://bioportal.bioontology.org/visualize/42737","substance produced by the plant, where the sample was obtained from","information about treatment involving exposure of plant or a plant part to a particular radiation regimen; should include the radiation type, amount or intensity administered, treatment duration, interval and total experimental duration; can include multiple radiation regimens",information about treatment involving an exposure to a given amount of rainfall; can include multiple regimens,"information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment duration, interval and total experimental duration; can include multiple salt regimens","salinity of sample, i.e. measure of total salt concentration",duration for which sample was stored,"location at which sample was stored, usually name of a specific freezer/room","temperature at which sample was stored, e.g. -80","treatment involving an exposure to a particular season (e.g. winter, summer, rabi, rainy etc.)","treatment involving an exposure to standing water during a plant's life span, types can be flood water or standing water; can include multiple regimens",description of plant tissue culture growth media used,"total mass of the host at collection, the unit depends on host",information about treatment involving an exposure to water with varying degree of temperature; can include multiple regimens,information about treatment involving an exposure to watering frequencies; can include multiple regimens,measurement of wet mass
mgs24872,mge37493,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24873,mge37494,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24874,mge37495,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24875,mge37496,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24877,mge37498,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24878,mge37499,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24879,mge37500,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24880,mge37501,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
mgs24881,mge37502,,,,,,,,,,,,,,,,,,,,,,,,,,,,env_package: plant-associated,,,,,,,,,,,,,,,,,,,,,,,
