"1" "2" "3" "4"
"Prevotellaceae:1" 2.59794752433995e-10 3.32369607771201e-10 2.29087718859637e-05 2.37633662527611e-09
"Lachnospiraceae:1" 2.59151375242004e-10 3.3228043030621e-10 5.63412687530889e-10 9.19997493426777e-05
"Unclassified-Screened:1" 2.6089301224606e-10 1.35109950758522e-05 5.72395632723522e-10 2.26491844451798e-09
"Clostridiales:1" 1.05382786709319e-05 3.33175944340828e-10 5.63567922162087e-10 2.47022362562779e-09
"Clostridiales:2" 2.59794501733862e-10 1.35109490500873e-05 6.49183834458324e-10 2.2795348317082e-09
"Firmicutes:1" 1.05383024807985e-05 3.32361263068621e-10 5.63693202643483e-10 2.26740692156369e-09
"PeptostreptococcaceaeIncertaeSedis:1" 2.59138835368012e-10 3.32241321354207e-10 5.71532983549259e-10 9.19997171080536e-05
"Clostridiales:3" 1.05382864147318e-05 3.52099778708181e-10 5.64508749309027e-10 2.26998465442723e-09
"Lachnospiraceae:7" 1.05383025563149e-05 3.32310579116841e-10 5.63551748653117e-10 2.26766084784798e-09
"Lachnospiraceae:8" 1.05382975745522e-05 3.37929525492264e-10 5.64023631351644e-10 2.2709959762648e-09
"LachnospiraceaeIncertaeSedis:1" 1.05383024807985e-05 3.32361263068621e-10 5.63693202643483e-10 2.26740692156369e-09
"Lachnospiraceae:9" 2.59151375242004e-10 3.3228043030621e-10 5.63412687530889e-10 9.19997493426777e-05
"Lachnospiraceae:10" 2.5929936925943e-10 4.00359129939081e-10 2.29086853307771e-05 2.26530214355894e-09
"Prevotellaceae:2" 1.05381599791004e-05 3.323150952936e-10 8.72260527377465e-10 2.27258654986616e-09
"Firmicutes:3" 1.05382983569192e-05 3.37266232251235e-10 5.63780966138621e-10 2.2696569353673e-09
"Enterococcaceae:1" 1.05383023938672e-05 3.32312325412955e-10 5.63771147718231e-10 2.26818604279018e-09
"Lachnospiraceae:12" 1.51646271624749e-09 1.09308437900397e-09 2.29046067398543e-05 2.95254498130005e-09
"Lachnospiraceae:13" 3.28674785032519e-10 3.68758760220661e-10 2.29085876324562e-05 2.2671748892367e-09
"Clostridiales:4" 1.0538192850558e-05 4.6644883078616e-10 5.72897818689155e-10 2.27448245720876e-09
"Lachnospiraceae:15" 4.75930066190148e-06 3.32384070663302e-10 3.54714453307639e-05 2.6737838781993e-09
"Lachnospiraceae:16" 1.05382975745522e-05 3.37929525492264e-10 5.64023631351644e-10 2.2709959762648e-09
"Lachnospiraceae:17" 1.05382975745522e-05 3.37929525492264e-10 5.64023631351644e-10 2.2709959762648e-09
"Lachnospiraceae:18" 2.59135947552501e-10 3.32235115450568e-10 5.63400030088092e-10 9.19997498367531e-05
"Lachnospiraceae:19" 2.59761458023195e-10 1.35108823472077e-05 7.63096435030495e-10 2.27655620175761e-09
"Lachnospiraceae:20" 1.05382786709319e-05 3.33175944340828e-10 5.63567922162087e-10 2.47022362562779e-09
"Ruminococcaceae:2" 1.05382864147318e-05 3.52099778708181e-10 5.64508749309027e-10 2.26998465442723e-09
"Lachnospiraceae:21" 2.59369498151499e-10 1.35107692634889e-05 9.56713725273815e-10 2.27244285043193e-09
"Lachnospiraceae:22" 1.05383025563149e-05 3.32310579116841e-10 5.63551748653117e-10 2.26766084784798e-09
"Lachnospiraceae:23" 2.59794752433995e-10 3.32369607771201e-10 2.29087718859637e-05 2.37633662527611e-09
"LachnospiraceaeIncertaeSedis:2" 2.59383674981323e-10 1.49644357176939e-09 4.58150636263783e-05 2.27241698317305e-09
"Lachnospiraceae:26" 2.5941483214875e-10 1.35102145759706e-05 1.89637893852339e-09 2.27544261920638e-09
"Clostridiales:5" 2.61082158120397e-10 3.59631951427135e-10 2.29087387152348e-05 2.31267239763618e-09
"Lachnospiraceae:27" 2.1959086779613e-09 1.26963682879032e-09 2.29029991139381e-05 2.27522839522744e-09
"Clostridiales:7" 1.05382998394366e-05 3.34536904717019e-10 5.64162655267365e-10 2.27376634200736e-09
"Unclassified-Screened:2" 2.59222614641724e-10 3.09448639579508e-09 2.29041169513488e-05 2.26735554733674e-09
"Clostridia:1" 1.0538192850558e-05 4.6644883078616e-10 5.72897818689155e-10 2.27448245720876e-09
"Firmicutes:4" 2.59484924821246e-10 1.35109771593207e-05 6.04028058768903e-10 2.27217602127691e-09
"Faecalibacterium:1" 2.59331033696448e-10 2.76800847179464e-06 4.11243343386814e-05 2.33404215740467e-09
"Erysipelotrichaceae:1" 1.05383011661785e-05 3.32370888678126e-10 5.64542396624173e-10 2.27540776773124e-09
"Coprobacillus:2" 1.05382971776271e-05 3.35034683165343e-10 5.65017779210126e-10 2.29011722190942e-09
"Firmicutes:6" 1.05382983569192e-05 3.37266232251235e-10 5.63780966138621e-10 2.2696569353673e-09
"Bacteroides:2" 2.60090868174574e-10 1.43568355279188e-05 2.14746366191362e-05 2.26840987663012e-09
"Clostridiales:9" 1.05382920617855e-05 3.42567172919342e-10 5.68349650604562e-10 2.27017081847682e-09
"Firmicutes:8" 1.05382864147318e-05 3.52099778708181e-10 5.64508749309027e-10 2.26998465442723e-09
"Faecalibacterium:2" 2.59240362369755e-10 6.61973350261002e-10 2.2908241018991e-05 2.26873969091244e-09
"Unclassified-Screened:4" 2.59346711239547e-10 3.32266295629016e-10 5.65742723480227e-10 9.19997383764132e-05
"Lachnospiraceae:30" 2.59195211672491e-10 3.32379350398713e-10 2.33552940668469e-05 0.000182204163977316
"Parabacteroides:1" 2.59138070831514e-10 3.322435788159e-10 5.63415758208141e-10 9.19997496974254e-05
"Lachnospiraceae:31" 2.59135947552501e-10 3.32235115450568e-10 5.63400030088092e-10 9.19997498367531e-05
"Lactobacillales:2" 1.05383027435756e-05 3.32303480586321e-10 5.63521262711195e-10 2.26619681985144e-09
"Parabacteroides:2" 2.59140979508589e-10 3.32263772537365e-10 2.29087722517315e-05 2.3812958517863e-09
"Lachnospiraceae:32" 1.05383011221825e-05 3.32820650917705e-10 5.6505760426794e-10 2.27066028369662e-09
